SiteID;Wetland type;Latitude;Longitude;Sampling date;TOC (mg L-1);Abs420 (m-1);SVISA (L?mg C-1?m-1);E2:E3 (a250/a365);SUVA254 (L?mg C-1?m-1);CO2-C (mg L-1);CH4-C (æg L-1);d13C-DIC (?)
WR1;rewetted;57.640331;13.716141;2022-05-21;13;4.44;0.34;3.96;4.35;11.9;6435;-4.59
WR2;rewetted;57.328458;13.574617;2022-05-21;33.8;19.28;0.57;3.87;5.18;5.7;36.8;-24.37
WR3;rewetted;57.41243;13.69291;2022-05-21;49.7;32.66;0.66;3.46;5.26;6.2;211.5;-15.73
WR4;rewetted;57.477161;14.442133;2022-05-22;38.9;23.7;0.61;3.69;5.11;5.5;113.9;-23.6
WR5;rewetted;57.84526218;15.49152894;2022-05-22;25.7;11.14;0.43;4.03;4.51;5.6;654.9;-21.43
WR6;rewetted;58.661313;15.237464;2022-05-22;55.2;26.16;0.47;4.07;4.65;11;769.7;-21.51
WR7;rewetted;58.62418305;15.48005776;2022-05-23;88.9;44.5;0.5;3.51;4.22;11.7;123.8;-21.16
WR8;rewetted;58.802234;15.402969;2022-05-23;25.6;7.92;0.31;5.08;4.39;4.6;9.8;-21.79
WR9;rewetted;58.63026;16.84124;2022-05-24;37.7;12.28;0.33;5;3.93;5.9;42.9;-14.42
WR10;rewetted;58.93207;17.22079;2022-05-24;18.1;4.88;0.27;4.96;3.35;1.9;23;-10.25
WR11;rewetted;59.05799;15.73065;2022-05-24;120;43.32;0.36;3.1;3.26;8.9;13.5;-25.55
WR12;rewetted;59.67673;15.48477;2022-05-25;60.3;33.96;0.56;3.86;5.15;3.5;42.3;-24.11
WR13;rewetted;59.86431;14.84655;2022-05-25;32.5;18.92;0.58;3.81;5.06;6.1;291;-19.35
WR14;rewetted;58.92232;14.58111;2022-05-26;137;89.72;0.65;1.76;2.87;8.2;434.5;-22.94
WR15;rewetted;60.55715;17.81853;2022-06-07;31.2;8.16;0.26;5.37;3.75;2.4;17.9;-11.61
WR16;rewetted;59.96461;15.36874;2022-06-08;34.7;18.42;0.53;4.14;5.14;4;18.3;-22.65
WR17;rewetted;59.93468;15.35044;2022-06-08;32.8;15.34;0.47;4.24;4.88;4.6;38.2;-23.21
WR18;rewetted;59.94025;15.50007;2022-06-08;31.2;19.12;0.61;3.73;5.49;6.5;28.1;-21.88
WR19;rewetted;59.87971;15.49897;2022-06-08;49.6;26.78;0.54;4;5.25;6.6;123.2;-23.15
WR20;rewetted;58.83538;17.41341;2022-06-09;34.8;13.54;0.39;4.78;4.12;2.5;103.2;-9.53
WR21;rewetted;58.85158;17.38741;2022-06-09;51.5;13.68;0.27;5.33;3.23;4.4;38.4;-12.91
WR22;rewetted;58.84507;17.39858;2022-06-09;41.9;16.5;0.39;4.82;4.09;5.5;865.2;-14.7
WR23;rewetted;60.32014;16.71435;2022-06-10;136;68.88;0.51;2.26;2.9;11.7;601.8;-19.8
WR24;rewetted;61.51821;16.78626;2022-06-11;51.8;27.46;0.53;4.04;5.3;4.8;26.9;-23.71
WR25;rewetted;61.53019;16.765;2022-06-11;43.9;20.72;0.47;4.29;5.09;6.2;46.4;-24.19
WR26;rewetted;62.81875;17.56032;2022-06-11;20.1;10.58;0.53;4.15;4.98;2.2;5.7;-18.27
WR27;rewetted;63.80757;17.33633;2022-06-12;45.9;25.6;0.56;4.01;5.21;3.1;5.8;-25.62
WR28;rewetted;63.81146;18.35341;2022-06-12;24.3;11.3;0.47;4.3;4.79;5.3;194.8;-18.83
WR29;rewetted;63.99681;19.65018;2022-06-13;23.4;8.9;0.38;4.48;4.45;12.2;1079.8;-20.62
WR30;rewetted;64.180493;19.842703;2022-06-13;39.5;19.6;0.5;4.11;4.83;3.5;7.5;-23.68
WR31;rewetted;66.57231;21.06981;2022-06-14;36.7;20.3;0.55;3.93;4.9;5.3;130.9;-23.55
WR32;rewetted;66.20492;22.64078;2022-06-15;42.8;17;0.4;3.93;5.32;5.5;606.6;-20.11
WR33;rewetted;66.24914;22.485956;2022-06-15;69.2;35.3;0.51;3.38;5.42;6.8;790.1;-21.71
C1;drained;57.645055;13.716496;2022-05-21;21.7;10.9;0.5;3.82;4.64;2.2;20.1;-21.39
C2;drained;57.342964;13.583691;2022-05-21;16.1;4.5;0.28;3.93;4.11;3.7;268.3;-14.38
C3;drained;57.41901;13.69975;2022-05-21;44.2;28;0.63;3.68;5.51;4.7;43.4;-22.31
C4;drained;57.469674;14.454959;2022-05-22;32.3;18.3;0.57;3.81;5.39;4.2;334.5;-17.55
C5;drained;57.86142328;15.47415666;2022-05-22;32.6;17.1;0.53;4.05;4.96;1.9;7.2;-16.2
C6;drained;58.654454;15.22458;2022-05-22;26.8;12.3;0.46;4.14;4.9;3.3;24.3;-20.54
C7;drained;58.61833037;15.45668273;2022-05-23;57.6;25.7;0.45;4.33;4.93;4;19.9;-18.7
C8;drained;58.8208183;15.43936772;2022-05-23;19.3;9.6;0.5;4.04;4.29;2.2;5.3;-17.65
C9;drained;58.61883;16.84572;2022-05-24;40.3;16.8;0.42;4.88;3.74;5.1;157.5;-16.86
C10;drained;58.93618;17.23418;2022-05-24;43.6;17.2;0.39;4.6;4.5;3.1;18.3;-17.41
C11;drained;59.05961;15.71676;2022-05-24;24.4;7.9;0.32;4.92;4.26;4.1;9.7;-19.54
C12;drained;59.68066;15.47715;2022-05-25;44.3;25.3;0.57;3.97;5.21;7;55.5;-25.01
C13;drained;59.86686;14.83115;2022-05-25;26.2;13.3;0.51;4.15;4.72;3.4;195.9;-17.42
C14;drained;58.93821;14.58733;2022-05-26;73.6;40.6;0.55;3.67;4.81;4.9;43.7;-23.11
C15;drained;60.55561;17.76893;2022-06-07;37.3;11.9;0.32;5.1;4.07;2.2;12.1;-13.1
C16;drained;59.96076;15.37414;2022-06-08;31.8;15.1;0.47;4.29;4.91;2.6;6.5;-20.24
C17;drained;59.93956;15.37894;2022-06-08;23.2;12.2;0.53;4.11;5.18;2.2;12.4;-22.61
C18;drained;59.93292;15.49394;2022-06-08;22;10.6;0.48;4.25;5.06;3.8;11.4;-23.82
C19;drained;59.88135;15.50443;2022-06-08;24.6;12.1;0.49;4.23;5.07;3.8;21;-22.42
C20;drained;58.84087;17.40276;2022-06-09;54.9;20;0.36;4.75;4.15;4;56.7;-19.1
C21;drained;58.85314;17.39476;2022-06-09;27.8;10.6;0.38;4.78;4.21;4.4;42.1;-18.31
C22;drained;58.81813;17.38874;2022-06-09;44.5;14.7;0.33;4.94;4;7.1;472.4;-21.61
C23;drained;60.30337;16.640447;2022-06-10;53.9;24.5;0.46;4.56;4.79;3.4;44.3;-15.39
C24;drained;61.5181;16.80009;2022-06-11;14.8;4.7;0.32;5.06;3.88;2.8;16.9;-21.75
C25;drained;61.54165;16.7443;2022-06-11;22.7;9.3;0.41;4.63;4.73;1.9;6.3;-21.02
C26;drained;62.82074;17.57803;2022-06-11;30.4;15.4;0.51;4.21;5.12;4.4;2;-24.54
C27;drained;63.81891;17.32988;2022-06-12;25.7;12.7;0.49;4.16;4.89;2.4;5.6;-23.86
C28;drained;63.79662;18.34019;2022-06-12;9.7;4.6;0.47;4.2;4.34;2.7;1.7;-20.92
C29;drained;63.98946;19.66483;2022-06-15;25.3;13.9;0.55;3.99;5.04;2.5;7.3;-21.49
